,I,V
0,0.0,0.0007940175
1,5e-08,2.140575
2,1e-07,5.198493
3,1.5e-07,5.013585
4,2e-07,4.626801
5,2.5e-07,4.186148
6,3e-07,3.87017
7,3.5e-07,3.582669
8,4e-07,3.289926
9,4.5e-07,2.801945
10,5e-07,2.559796
11,5.5e-07,2.604867
12,6e-07,2.66149
13,6.499999999999999e-07,2.715765
14,7e-07,2.762838
15,7.5e-07,2.805917
16,8e-07,2.849678
17,8.499999999999999e-07,2.883607
18,9e-07,2.920516
19,9.5e-07,2.949921
20,1e-06,2.981733
21,1e-06,2.975831
22,9.5e-07,2.937451
23,9e-07,2.899083
24,8.499999999999999e-07,2.849121
25,8e-07,2.804273
26,7.5e-07,2.748843
27,7e-07,2.690995
28,6.499999999999999e-07,2.62676
29,6e-07,2.557363
30,5.5e-07,2.492721
31,5e-07,2.428682
32,4.4999999999999993e-07,2.372819
33,4e-07,2.314873
34,3.5000000000000004e-07,2.25923
35,3e-07,2.207538
36,2.4999999999999994e-07,2.150337
37,2e-07,2.082323
38,1.5000000000000005e-07,2.011962
39,1e-07,1.929595
40,4.9999999999999945e-08,1.81698
41,0.0,1.514986
42,-4.9999999999999945e-08,-4.411192
43,-1.000000000000001e-07,-21.00092
44,-1.5000000000000005e-07,-21.00087
45,-2e-07,-21.0009
46,-2.4999999999999994e-07,-21.00089
47,-2.999999999999999e-07,-21.0009
48,-3.5000000000000004e-07,-21.0009
49,-4e-07,-21.00088
50,-4.4999999999999993e-07,-21.00085
51,-5.000000000000001e-07,-21.00084
52,-5.5e-07,-21.00086
53,-6e-07,-21.00084
54,-6.499999999999999e-07,-21.00083
55,-6.999999999999999e-07,-21.00081
56,-7.5e-07,-21.00082
57,-8e-07,-21.00079
58,-8.499999999999999e-07,-0.1699366
59,-9.000000000000001e-07,-0.1287612
60,-9.5e-07,-0.123368
61,-1e-06,-0.1242037
62,-1e-06,-0.1230743
63,-9.5e-07,-0.1231545
64,-9e-07,-0.1237385
65,-8.499999999999999e-07,-0.1239869
66,-8e-07,-0.1269655
67,-7.5e-07,-0.1238572
68,-7e-07,-0.121075
69,-6.499999999999999e-07,-0.1276297
70,-6e-07,-0.1291647
71,-5.5e-07,-0.12412
72,-5e-07,-0.1336181
73,-4.4999999999999993e-07,-0.1300509
74,-4e-07,-0.1275927
75,-3.5000000000000004e-07,-0.1315602
76,-3e-07,-0.136068
77,-2.4999999999999994e-07,-0.1316857
78,-2e-07,-0.1356465
79,-1.5000000000000005e-07,-0.135643
80,-1e-07,-0.1364665
81,-4.9999999999999945e-08,-0.1400235
82,0.0,-0.03639783
