,I,V
0,0.0,-4.031396e-05
1,1e-08,0.002664828
2,2e-08,0.005338691
3,3.0000000000000004e-08,0.008022361
4,4e-08,0.01068887
5,5e-08,0.01334271
6,6.000000000000001e-08,0.01598623
7,7e-08,0.0186176
8,8e-08,0.0212651
9,9e-08,0.023908
10,1e-07,0.02656337
11,1e-07,0.02654417
12,9e-08,0.02391117
13,8e-08,0.02128982
14,6.999999999999999e-08,0.01863894
15,6e-08,0.01600696
16,5e-08,0.01337397
17,3.999999999999999e-08,0.01070245
18,2.999999999999999e-08,0.008030837
19,1.9999999999999994e-08,0.005345227
20,9.999999999999997e-09,0.002664316
21,0.0,-1.977832e-05
22,-1.000000000000001e-08,-0.002740331
23,-2.000000000000002e-08,-0.005456898
24,-3.0000000000000004e-08,-0.008206772
25,-4.0000000000000014e-08,-0.0109642
26,-5e-08,-0.01375004
27,-6.000000000000001e-08,-0.01652106
28,-7.000000000000002e-08,-0.01932518
29,-8e-08,-0.02214514
30,-9.000000000000001e-08,-0.02498757
31,-1e-07,-0.02787557
32,-1e-07,-0.02785912
33,-9e-08,-0.02502322
34,-8e-08,-0.02215535
35,-6.999999999999999e-08,-0.01933876
36,-6e-08,-0.01652729
37,-5e-08,-0.0137437
38,-3.999999999999999e-08,-0.01096441
39,-2.999999999999999e-08,-0.008210957
40,-1.9999999999999994e-08,-0.005460167
41,-9.999999999999997e-09,-0.002738182
42,0.0,-2.458013e-05
