,I,V
0,0.0,0.0001654716
1,2e-08,0.1992696
2,4e-08,0.3985701
3,6.000000000000001e-08,0.5980338
4,8e-08,0.7974206
5,1e-07,0.9968917
6,1.2000000000000002e-07,1.196494
7,1.4e-07,1.395939
8,1.6e-07,1.595261
9,1.8e-07,1.794755
10,2e-07,1.994061
11,2.2e-07,2.194381
12,2.4000000000000003e-07,2.393802
13,2.6e-07,2.593005
14,2.8e-07,2.791787
15,3e-07,2.992392
16,3.2e-07,3.191606
17,3.4000000000000003e-07,3.390995
18,3.6e-07,3.590469
19,3.8e-07,3.790071
20,4e-07,3.989724
21,4.2e-07,4.189086
22,4.4e-07,4.388623
23,4.6e-07,4.58797
24,4.800000000000001e-07,4.787308
25,5e-07,4.986942
26,5.2e-07,5.18651
27,5.4e-07,5.386057
28,5.6e-07,5.585681
29,5.800000000000001e-07,5.784882
30,6e-07,5.982062
31,6.2e-07,6.184144
32,6.4e-07,6.383534
33,6.6e-07,6.582573
34,6.800000000000001e-07,6.782154
35,7e-07,6.981093
36,7.2e-07,7.180617
37,7.4e-07,7.38025
38,7.6e-07,7.578381
39,7.8e-07,7.779508
40,8e-07,7.979568
41,8.2e-07,8.177192
42,8.4e-07,8.377732
43,8.6e-07,8.57702
44,8.8e-07,8.774503
45,9.000000000000001e-07,8.974681
46,9.2e-07,9.173899
47,9.4e-07,9.374187
48,9.600000000000001e-07,9.573138
49,9.8e-07,9.772628
50,1e-06,9.97201
51,1e-06,9.971984
52,9.8e-07,9.77264
53,9.6e-07,9.573411
54,9.399999999999999e-07,9.37392
55,9.2e-07,9.174369
56,9e-07,8.975029
57,8.799999999999999e-07,8.777277
58,8.599999999999999e-07,8.57657
59,8.4e-07,8.379436
60,8.2e-07,8.177974
61,8e-07,7.977916
62,7.799999999999999e-07,7.778756
63,7.599999999999999e-07,7.579355
64,7.399999999999999e-07,7.379863
65,7.199999999999999e-07,7.180533
66,7e-07,6.981303
67,6.8e-07,6.781943
68,6.599999999999999e-07,6.582016
69,6.4e-07,6.383259
70,6.2e-07,6.181891
71,6e-07,5.983991
72,5.8e-07,5.784722
73,5.599999999999999e-07,5.585415
74,5.399999999999999e-07,5.385946
75,5.199999999999999e-07,5.186615
76,5e-07,4.986883
77,4.8e-07,4.786301
78,4.5999999999999994e-07,4.587737
79,4.399999999999999e-07,4.388889
80,4.199999999999999e-07,4.189264
81,4e-07,3.9897
82,3.7999999999999996e-07,3.790274
83,3.5999999999999994e-07,3.590606
84,3.399999999999999e-07,3.391055
85,3.199999999999999e-07,3.191663
86,3e-07,2.991907
87,2.7999999999999997e-07,2.793008
88,2.5999999999999995e-07,2.59354
89,2.399999999999999e-07,2.394185
90,2.199999999999999e-07,2.194478
91,2e-07,1.994159
92,1.7999999999999997e-07,1.794802
93,1.5999999999999995e-07,1.595357
94,1.3999999999999993e-07,1.395983
