,I,V
0,0.0,0.0001281656
1,1e-08,-0.003741406
2,2e-08,-0.01175536
3,3.0000000000000004e-08,-0.01470824
4,4e-08,-0.02216888
5,5e-08,-0.02765783
6,6.000000000000001e-08,-0.03340166
7,7e-08,-0.03963208
8,8e-08,-0.04486202
9,9e-08,-0.05104971
10,1e-07,-0.05660898
11,1e-07,-0.05661664
12,9e-08,-0.05089667
13,8e-08,-0.04516625
14,6.999999999999999e-08,-0.03946512
15,6e-08,-0.03377504
16,5e-08,-0.02805931
17,3.999999999999999e-08,-0.02237138
18,2.999999999999999e-08,-0.01671652
19,1.9999999999999994e-08,-0.0110863
20,9.999999999999997e-09,-0.005466403
21,0.0,0.0001402208
22,-1.000000000000001e-08,0.005747453
23,-2.000000000000002e-08,0.01141648
24,-3.0000000000000004e-08,0.01710287
25,-4.0000000000000014e-08,0.02280744
26,-5e-08,0.0285395
27,-6.000000000000001e-08,0.03429342
28,-7.000000000000002e-08,0.04003998
29,-8e-08,0.04581181
30,-9.000000000000001e-08,0.05158266
31,-1e-07,0.05736022
32,-1e-07,0.0573516
33,-9e-08,0.05160228
34,-8e-08,0.04580526
35,-6.999999999999999e-08,0.0400406
36,-6e-08,0.03429452
37,-5e-08,0.02853511
38,-3.999999999999999e-08,0.02279385
39,-2.999999999999999e-08,0.01709919
40,-1.9999999999999994e-08,0.01141586
41,-9.999999999999997e-09,0.005740911
42,0.0,0.0001146807
