,I,V
0,0.0,0.0001517785
1,5e-08,-0.001834643
2,1e-07,-0.005046326
3,1.5e-07,-0.007207125
4,2e-07,-0.009515539
5,2.5e-07,-0.01184664
6,3e-07,-0.01455632
7,3.5e-07,-0.01701553
8,4e-07,-0.01955971
9,4.5e-07,-0.02209073
10,5e-07,-0.0243452
11,5.5e-07,-0.02720802
12,6e-07,-0.02953861
13,6.499999999999999e-07,-0.03237374
14,7e-07,-0.03502049
15,7.5e-07,-0.03759052
16,8e-07,-0.04027795
17,8.499999999999999e-07,-0.04286871
18,9e-07,-0.0455019
19,9.5e-07,-0.04864497
20,1e-06,-0.05145828
21,1e-06,-0.05142572
22,9.5e-07,-0.0485812
23,9e-07,-0.04577087
24,8.499999999999999e-07,-0.04298897
25,8e-07,-0.04028309
26,7.5e-07,-0.03759176
27,7e-07,-0.0349637
28,6.499999999999999e-07,-0.03231052
29,6e-07,-0.02970165
30,5.5e-07,-0.02713549
31,5e-07,-0.02455187
32,4.4999999999999993e-07,-0.02202657
33,4e-07,-0.01950731
34,3.5000000000000004e-07,-0.01700122
35,3e-07,-0.01450903
36,2.4999999999999994e-07,-0.01203625
37,2e-07,-0.009575203
38,1.5000000000000005e-07,-0.007129387
39,1e-07,-0.004694602
40,4.9999999999999945e-08,-0.0022685
41,0.0,0.0001492247
42,-4.9999999999999945e-08,0.00255665
43,-1.000000000000001e-07,0.004957933
44,-1.5000000000000005e-07,0.007347268
45,-2e-07,0.009724757
46,-2.4999999999999994e-07,0.01209397
47,-2.999999999999999e-07,0.01449259
48,-3.5000000000000004e-07,0.01685016
49,-4e-07,0.01920415
50,-4.4999999999999993e-07,0.02157887
51,-5.000000000000001e-07,0.02388944
52,-5.5e-07,0.02627951
53,-6e-07,0.02864155
54,-6.499999999999999e-07,0.03103149
55,-6.999999999999999e-07,0.03331245
56,-7.5e-07,0.03564825
57,-8e-07,0.03800695
58,-8.499999999999999e-07,0.04031447
59,-9.000000000000001e-07,0.04262114
60,-9.5e-07,0.04490506
61,-1e-06,0.04721672
62,-1e-06,0.04723983
63,-9.5e-07,0.0449404
64,-9e-07,0.04263015
65,-8.499999999999999e-07,0.04030444
66,-8e-07,0.0380566
67,-7.5e-07,0.03569565
68,-7e-07,0.03336996
69,-6.499999999999999e-07,0.0310177
70,-6e-07,0.02867966
71,-5.5e-07,0.02632362
72,-5e-07,0.02399394
73,-4.4999999999999993e-07,0.02161146
74,-4e-07,0.01926421
75,-3.5000000000000004e-07,0.01689347
76,-3e-07,0.01452814
77,-2.4999999999999994e-07,0.01214524
78,-2e-07,0.009760714
79,-1.5000000000000005e-07,0.007366675
80,-1e-07,0.004965801
81,-4.9999999999999945e-08,0.002563493
82,0.0,0.0001474881
